0.25	0.25	0.25	0.25	
0.24	0.28	0.24	0.24	
0.23	0.27	0.27	0.23	
0.22	0.3	0.26	0.22	
0.21	0.29	0.25	0.25	
0.2	0.32	0.24	0.24	
0.19	0.35	0.23	0.23	
0.18	0.38	0.22	0.22	
0.17	0.37	0.21	0.25	
0.16	0.36	0.24	0.24	
0.15	0.35	0.27	0.23	
0.14	0.38	0.26	0.22	
0.13	0.41	0.25	0.21	
0.12	0.44	0.24	0.2	
0.11	0.47	0.23	0.19	
0.1	0.5	0.22	0.18	
0.1	0.52	0.21	0.17	
0.1	0.54	0.2	0.16	
0.1	0.56	0.19	0.15	
0.1	0.58	0.18	0.14	
0.1	0.6	0.17	0.13	
0.1	0.59	0.19	0.12	
0.1	0.61	0.18	0.11	
0.1	0.63	0.17	0.1	
0.1	0.64	0.16	0.1	
0.1	0.65	0.15	0.1	
0.1	0.66	0.14	0.1	
0.1	0.67	0.13	0.1	
0.1	0.68	0.12	0.1	
0.1	0.69	0.11	0.1	
0.1	0.68	0.12	0.1	
0.1	0.69	0.11	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.69	0.11	0.1	
0.1	0.68	0.12	0.1	
0.1	0.69	0.11	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
0.1	0.7	0.1	0.1	
