0.2	0.2	0.2	0.2	0.2	
0.195	0.195	0.195	0.22	0.195	
0.19	0.19	0.215	0.215	0.19	
0.185	0.185	0.21	0.235	0.185	
0.18	0.18	0.23	0.23	0.18	
0.2	0.175	0.225	0.225	0.175	
0.195	0.17	0.22	0.245	0.17	
0.19	0.165	0.215	0.24	0.19	
0.185	0.185	0.21	0.235	0.185	
0.205	0.18	0.205	0.23	0.18	
0.2	0.175	0.225	0.225	0.175	
0.195	0.195	0.22	0.22	0.17	
0.19	0.19	0.215	0.215	0.19	
0.185	0.185	0.21	0.235	0.185	
0.18	0.18	0.23	0.23	0.18	
0.175	0.175	0.225	0.225	0.2	
0.17	0.17	0.245	0.22	0.195	
0.19	0.165	0.24	0.215	0.19	
0.185	0.185	0.235	0.21	0.185	
0.205	0.18	0.23	0.205	0.18	
0.2	0.2	0.225	0.2	0.175	
0.195	0.195	0.22	0.22	0.17	
0.19	0.19	0.24	0.215	0.165	
0.185	0.185	0.235	0.21	0.185	
0.18	0.205	0.23	0.205	0.18	
0.175	0.2	0.25	0.2	0.175	
0.17	0.195	0.245	0.22	0.17	
0.165	0.19	0.24	0.215	0.19	
0.185	0.185	0.235	0.21	0.185	
0.18	0.205	0.23	0.205	0.18	
0.175	0.2	0.25	0.2	0.175	
0.17	0.195	0.245	0.195	0.195	
0.19	0.19	0.24	0.19	0.19	
0.21	0.185	0.235	0.185	0.185	
0.205	0.18	0.255	0.18	0.18	
0.2	0.175	0.25	0.2	0.175	
0.195	0.17	0.245	0.22	0.17	
0.19	0.165	0.265	0.215	0.165	
0.21	0.16	0.26	0.21	0.16	
0.205	0.18	0.255	0.205	0.155	
0.2	0.175	0.275	0.2	0.15	
0.22	0.17	0.27	0.195	0.145	
0.215	0.165	0.29	0.19	0.14	
0.21	0.16	0.285	0.185	0.16	
0.205	0.18	0.28	0.18	0.155	
0.2	0.175	0.3	0.175	0.15	
0.195	0.17	0.295	0.17	0.17	
0.215	0.165	0.29	0.165	0.165	
0.235	0.16	0.285	0.16	0.16	
0.23	0.155	0.28	0.18	0.155	
0.225	0.15	0.275	0.175	0.175	
0.22	0.145	0.295	0.17	0.17	
0.215	0.165	0.29	0.165	0.165	
0.21	0.185	0.285	0.16	0.16	
0.23	0.18	0.28	0.155	0.155	
0.225	0.2	0.275	0.15	0.15	
0.22	0.195	0.27	0.145	0.17	
0.24	0.19	0.265	0.14	0.165	
0.235	0.185	0.26	0.16	0.16	
0.23	0.18	0.255	0.18	0.155	
0.225	0.175	0.275	0.175	0.15	
0.22	0.195	0.27	0.17	0.145	
0.215	0.19	0.29	0.165	0.14	
0.235	0.185	0.285	0.16	0.135	
0.23	0.205	0.28	0.155	0.13	
0.25	0.2	0.275	0.15	0.125	
0.245	0.195	0.27	0.17	0.12	
0.24	0.19	0.265	0.165	0.14	
0.235	0.185	0.285	0.16	0.135	
0.23	0.18	0.28	0.155	0.155	
0.225	0.175	0.3	0.15	0.15	
0.22	0.195	0.295	0.145	0.145	
0.215	0.215	0.29	0.14	0.14	
0.21	0.235	0.285	0.135	0.135	
0.205	0.23	0.28	0.155	0.13	
0.2	0.225	0.3	0.15	0.125	
0.195	0.245	0.295	0.145	0.12	
0.19	0.24	0.29	0.165	0.115	
0.185	0.235	0.31	0.16	0.11	
0.18	0.23	0.305	0.18	0.105	
0.175	0.25	0.3	0.175	0.1	
